DATA DO ENVIO,PROTOCOLO,MUNICÍPIO,PRESTADORA,TIPO,NATUREZA,COMUNICAÇÃO,ÁREAS AFETADAS,DIA INICIAL,DIA PREVISTO PARA TÉRMINO,ESTRUTURA,RESPONSÁVEL,MOTIVO DO CANCELAMENTO
"5 de fev. de 2026, 08:21:49",CASAL00002849,OLIVENÇA,CASAL,Emergencial,Ads Solicita Fechamento da Adutora Nova de Santana Para Fazer Uma Manutenção no Registro Que Abastece A Cidade de Olivença. Áreas,Divulgado pela ASCOM,Dois Riachos Maravilha Olivença Ouro Branco Poço das Trincheiras Santana do Ipanema,05-02-2026,05-02-2026,Outros,ADS," "
"5 de fev. de 2026, 08:21:25",CASAL00002848,MACEIÓ,CASAL,Emergencial,Falta de Energia no Sistema Rio Novo.,Divulgado pela ASCOM,Maceió,30-01-2026,30-01-2026,EEabc Rio Novo,EQTL," "
"5 de fev. de 2026, 08:21:04",CASAL00002847,MACEIÓ,CASAL,Emergencial,"Poço Com A Parte Elétrica Furtada, Demanda Informada Pela Cco/Brk.",Divulgado pela ASCOM,Maceió,04-02-2026,,P-Mac-Egm-01A,CASAL," "
"5 de fev. de 2026, 08:20:41",CASAL00002846,MAR VERMELHO,CASAL,Programada,Limpeza do Reservatório de Distribuição.,Divulgado pela ASCOM,Mar Vermelho,11-02-2026,11-02-2026,ETA Mar Vermelho,VERDE," "
"5 de fev. de 2026, 08:13:49",CASAL00002845,MACEIÓ,CASAL,Emergencial,Sistema Parado Para Recuperação de Nível.,Divulgado pela ASCOM,Maceió,04-02-2026,,EEAT R2 (Cardoso),CASAL," "
"5 de fev. de 2026, 08:13:30",CASAL00002844,MARAGOGI,CASAL,Emergencial,"Falta de Potencial Energético Nos P-Mar-Bg 16, P-Mar-Dp 24 e P-Mar-Dp 25.",Divulgado pela ASCOM,Maragogi,04-02-2026,,P-Mar-Bg 16,EQTL," "
"5 de fev. de 2026, 08:13:09",CASAL00002843,MACEIÓ,CASAL,Emergencial,"Sistema Parado, Limpeza no Aqueduto.",Divulgado pela ASCOM,Maceió,04-02-2026,04-02-2026,EEabc Palmar,CASAL," "
"5 de fev. de 2026, 08:12:49",CASAL00002842,RIO LARGO,CASAL,Emergencial,"O Poço Barnabé Oiticica 06, Energizado Porém O Mesmo Não Está Partindo A Bomba, Necessário Vistoria da Elétrica.",Divulgado pela ASCOM,Rio Largo,03-02-2026,,P-Rlg-Bo-06,CASAL," "
"5 de fev. de 2026, 08:12:23",CASAL00002841,JUNQUEIRO,CASAL,Emergencial,Parado O Bombeamento Para São Sebastião Por Falta de Energia Elétrica.,Divulgado pela ASCOM,São Sebastião,04-02-2026,,ETA-EEAT Junqueiro,EQTL," "
"5 de fev. de 2026, 07:00:23",BRK00003198,MARECHAL DEODORO,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),Conj. Hab. Denisson Amorim,04-02-2026,05-02-2026,Ete Denisson Amorim 10,BRK," "
"4 de fev. de 2026, 20:04:04",ADS00000751,SÃO JOSÉ DA TAPERA,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,São José da Tapera - Pilões,2026-02-04,2026-02-04,Vazamento em Rede Distribuição,Águas do Sertão," "
"4 de fev. de 2026, 17:26:06",BRK00003197,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),CONJ. Gama Lins e Cidade Universitária,12-12-2025,07-02-2026,Poço P-Gl 02,CASAL," "
"4 de fev. de 2026, 17:09:27",VAA00000972,MAR VERMELHO,VAA,Programada,Limpeza de Reservatório,"Divulgação: site, e-mail, whatsapp",Parte alta da cidade,11-02-2026 11:00,11-02-2026 20:00,Rap - R1 ETA,VERDE ALAGOAS," "
"4 de fev. de 2026, 16:22:59",BRK00003196,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),"Conj. Hab. José Dias, Lot. Terra Dos Marechais, Taperagua, Povoado De Pedras, Sindpol, Lot. Veleiros e Nova Jericó e Porto Grande",04-02-2026,05-02-2026,Reservatório Apoiado  e Elevado da ETA Estiva,BRK," "
"4 de fev. de 2026, 16:05:06",BRK00003195,MACEIÓ,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),Eustáquio Gomes e Cidade Universitária,04-02-2026,07-02-2026,Poço P-Egm 01,CASAL," "
"4 de fev. de 2026, 15:30:25",CASAL00002840,MACEIÓ,CASAL,Programada,Inspeção Nos Componentes Eletromecânicos; Lubrificação de Motores e Bombas; Ajuste de Gaxetas; Reaperto de Conexões Elétricas; Limpeza e Organização do Local; Substituição de Componentes Caso Necessário.,Divulgado pela ASCOM,Maceió e Conjunto Osman Loureiro,10-02-2026,10-02-2026,EEAT Osmam Loureiro,CASAL," "
"4 de fev. de 2026, 14:58:01",ADS00000750,OLIVENÇA,ADS,Programada,Instalação de Dispositivo Hidráulico,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Olivença - Urbana e Olivença - Poço da Cacimba,2026-02-05,2026-02-05,Manutenção de Registro em Olivença,Águas do Sertão," "
"4 de fev. de 2026, 14:55:14",VAA00000971,MARAGOGI,VAA,Emergencial,Falha no Fornecimento de Energia,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",CARVÃO E CONJUNTO DEDA PAZ,04-02-2026 13:50,04-02-2026 17:00,Poço (Casal),CASAL," "
"4 de fev. de 2026, 14:53:44",VAA00000970,MARIBONDO,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Toda a cidade de Maribondo,04-02-2026 10:50,05-02-2026 10:50,Distribuição,VERDE ALAGOAS," "
"4 de fev. de 2026, 14:38:45",ADS00000749,SÃO MIGUEL DOS CAMPOS,ADS,Emergencial,Eletromecânica - Falha em CMB,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,São Miguel dos Campos - Urbana,2026-02-04,2026-02-04,Poço Buriti 1,Águas do Sertão," "
"4 de fev. de 2026, 14:29:51",ADS00000748,MATA GRANDE,ADS,Emergencial,Manutenção Casal,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Mata Grande - Santa Cruz do Deserto e Mata Grande - Urbana,2026-02-04,2026-02-04,EEAT-06,Casal," "
"4 de fev. de 2026, 14:26:29",ADS00000747,PALMEIRA DOS ÍNDIOS,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Palmeira dos Índios - Canafistula,2026-02-04,2026-02-04,Pvc Dn 100mm,Águas do Sertão," "
"4 de fev. de 2026, 13:00:52",BRK00003194,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),Centro e Santa Luzia,04-02-2026,05-02-2026,Poços Alto de Santa Luzia,BRK," "
"4 de fev. de 2026, 12:56:22",BRK00003193,MARECHAL DEODORO,BRK,Emergencial,Ao Furto de Instalação Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (04/02/2026),Conj. Hab. Denisson Amorim,04-02-2026,05-02-2026,Ete Denisson Amorim 10,BRK," "
"4 de fev. de 2026, 09:20:03",CASAL00002839,MACEIÓ,CASAL,Emergencial,Recuperação dos Reservatórios do Sistema.,Divulgado pela ASCOM,Maceió,04-02-2026,04-02-2026,EEAT Benedito Bentes,CASAL," "
"4 de fev. de 2026, 09:19:25",CASAL00002838,MACEIÓ,CASAL,Emergencial,Bombeamento Parado Por Falha na Injeção de Cloro.,Divulgado pela ASCOM,Maceió,03-02-2026,03-02-2026,EEAT R2 (Cardoso),CASAL," "
"4 de fev. de 2026, 09:13:29",CASAL00002837,MACEIÓ,CASAL,Emergencial,Desligado A Pedido da Brk Para Retirada de Vazamento,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Reg-02B,BRK," "
"4 de fev. de 2026, 09:13:07",CASAL00002836,MACEIÓ,CASAL,Emergencial,Desligado A Pedido da Brk Para Retirada de Vazamento,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Fe-04,BRK," "
"4 de fev. de 2026, 09:12:40",CASAL00002835,MACEIÓ,CASAL,Emergencial,Desligado A Pedido da Brk Para Retirada de Vazamento,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Fe-03,BRK," "
"4 de fev. de 2026, 09:10:41",CASAL00002834,MACEIÓ,CASAL,Emergencial,Desligado A Pedido da Brk Para Retirada de Vazamento,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Fe-02,BRK," "
"4 de fev. de 2026, 09:10:20",CASAL00002833,PASSO DE CAMARAGIBE,CASAL,Emergencial,A Bomba Está Funcionando Sem Recalcar.,Divulgado pela ASCOM,Passo de Camaragibe,03-02-2026,,P-Marc – Lav 01,CASAL," "
"4 de fev. de 2026, 09:09:58",CASAL00002832,MACEIÓ,CASAL,Programada,Adequação do Macromedidor,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Lsl-03,BRK," "
"4 de fev. de 2026, 09:09:35",CASAL00002831,MACEIÓ,CASAL,Emergencial,Falta de Energia - Protocolo Equatorial 8007769788.,Divulgado pela ASCOM,Maceió,02-02-2026,03-02-2026,P-Mac-Ip-04,EQTL," "
"4 de fev. de 2026, 09:09:11",CASAL00002830,MACEIÓ,CASAL,Emergencial,Sistema Desligado A Pedido da Brk Para Retirada de Vazamento da Rede de Distribuição.,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Ve-01,BRK," "
"4 de fev. de 2026, 09:08:48",CASAL00002829,MACEIÓ,CASAL,Emergencial,Poço Desligado Para Adequação do Macro.,Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Bl-08,BRK," "
"4 de fev. de 2026, 09:08:21",CASAL00002828,MACEIÓ,CASAL,Emergencial,Poço Parado Para Adequação do Macro.,Divulgado pela ASCOM,,03-02-2026,,P-Mac-Bl-07,BRK," "
"4 de fev. de 2026, 09:07:57",CASAL00002827,SANTANA DO IPANEMA,CASAL,Emergencial,"Bombeamento Paralisado na EEAT – Santana do Ipanema Recalque Para A Adutora Nova de Dois Riachos, Para Substituição da Bomba.  Áreas",Divulgado pela ASCOM,Dois Riachos,03-02-2026,03-02-2026,EE – Santana,CASAL," "
"4 de fev. de 2026, 09:07:10",CASAL00002826,TRAIPU,CASAL,Emergencial,Falta de Energia na Captação da Cidade de Traipu. Sendo Normalizado Às 10H30.,Divulgado pela ASCOM,Traipu,02-02-2026,03-02-2026,EEab Traipu,EQTL," "
"4 de fev. de 2026, 00:42:41",BRK00003192,BARRA DE SÃO MIGUEL,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Centro,03-02-2026,04-02-2026,EEe Bsm 02,BRK," "
"3 de fev. de 2026, 23:15:34",BRK00003191,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Feitosa e Reginaldo,03-02-2026,04-02-2026,"Poços Fe 02, 03, R-02C e R-02B",BRK," "
"3 de fev. de 2026, 22:43:34",BRK00003190,MACEIÓ,BRK,Emergencial,À Instalação de Macromedidor,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel, Levada e Bom Parto e Farol",03-02-2026,04-02-2026,Poço P-Bl 07 e P-Bl 08,BRK," "
"3 de fev. de 2026, 20:18:24",BRK00003189,MACEIÓ,BRK,Emergencial,Manutenção no Sistema de Cloração,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel do Lago, Levada, Bom Parto, Virgem dos Pobres, Farol, Pitanguinha, Bebedouro, Mutange, Santa Amélia, Jardim Petrópolis e chã de Jaqueira e chã de bebedouro",03-02-2026,04-02-2026,"Elevatória da ETA Cardoso R2A, R3A e R8",Casal," "
"3 de fev. de 2026, 16:51:14",BRK00003188,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Feitosa e Reginaldo,03-02-2026,03-02-2026,"Poços Fe 02, 03, R-02C e R-02B",BRK," "
"3 de fev. de 2026, 16:45:11",BRK00003187,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),VILA EMATER E JACARECICA,03-02-2026,03-02-2026,Poço P-Ve 01,BRK," "
"3 de fev. de 2026, 15:13:26",ADS00000746,SANTANA DO IPANEMA,ADS,Emergencial,Manutenção Casal,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,"Santana do Ipanema - Areias Branca, Dois Riachos - Urbana e Dois Riachos - Pai Mane",2026-02-03,2026-02-03,Manunteção Casal - Falha em CMB,Casal," "
"3 de fev. de 2026, 15:09:37",BRK00003186,MACEIÓ,BRK,Emergencial,À Adequação do Macromedidor,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),"Centro, Ponta Grossa, Pontal, Prado, Trapiche, Vergel, Levada e Bom Parto e Farol",03-02-2026,03-02-2026,Poço P-Bl 08 e 07,BRK," "
"3 de fev. de 2026, 13:52:22",BRK00003185,MACEIÓ,BRK,Emergencial,Ao Capeamento da Rede,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Farol,03-02-2026,03-02-2026,Registro da Rua Oriente- Farol,BRK," "
"3 de fev. de 2026, 12:43:16",BRK00003184,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Farol,03-02-2026,03-02-2026,Registro da Rua Oriente- Farol,BRK,MOTIVO INFORMADO  ERRADO.
"3 de fev. de 2026, 11:08:40",VAA00000969,CAPELA,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Centro da Cidade de Capela.,03-02-2026 09:00,04-02-2026 09:00,Distribuição,VERDE ALAGOAS," "
"3 de fev. de 2026, 10:50:28",CASAL00002825,PARIPUEIRA,CASAL,Emergencial,Vistoriador Constatou Que O Poço Não Está Recalcando. Necessário A Intervenção da Equipe de Manutenção Para Acionar O Equipamento.,Divulgado pela ASCOM,Maceió,03-02-2026,,Prm-13,CASAL," "
"3 de fev. de 2026, 10:48:15",CASAL00002824,MACEIÓ,CASAL,Emergencial,"O Poço Foi Novamente Encontrado Parado,Sendo Esta A Terceira Ocorrência em Três Diasconsecutivos. É Necessária A Intervenção da Equipede Manutenção Elétrica Com Urgência.Ressaltamosa Importância de Uma Análise Mais Detalhada, Vistoque A Recorrência Pode Indicar Falhas Elétricas Maisgraves, e A Continuidade Dessas Paradas Poderesultar em Danos Ao Equipamento e Perca Naprodução.",Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Bl-08,CASAL," "
"3 de fev. de 2026, 10:47:42",CASAL00002823,MACEIÓ,CASAL,Emergencial,"O Poço Foi Novamente Encontrado Parado, Sendo Esta A Terceira Ocorrência em Três Dias Consecutivos. É Necessária A Intervenção da Equipe de Manutenção Elétrica Com Urgência.Ressaltamos A Importância de Uma Análise Mais Detalhada, Visto Que A Recorrência Pode Indicar Falhas Elétricas Mais Graves, e A Continuidade Dessas Paradas Pode Resultar em Danos Ao Equipamento e Perca na Produção.",Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Bl-07,CASAL," "
"3 de fev. de 2026, 10:08:51",BRK00003183,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Res. Erick Ferraz,03-02-2026,03-02-2026,Poço Md 14 e 15,BRK," "
"3 de fev. de 2026, 09:54:43",BRK00003182,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (03/02/2026),Santa Lúcia,03-02-2026,03-02-2026,Poço P-Lsl 05,CASAL," "
"3 de fev. de 2026, 09:33:44",ADS00000745,TRAIPU,ADS,Emergencial,Manutenção Equatorial,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Traipu - Urbana,2026-02-02,2026-02-02,EEab Traipu,Equatorial," "
"3 de fev. de 2026, 08:27:04",CASAL00002822,MACEIÓ,CASAL,Emergencial,"Brk Constatou Que O Poço Está Sem Recalcar.Além da Inspeção, Foi Solicitado Pela Gerencia Uma Medição de Boca de Poço.",Divulgado pela ASCOM,Maceió,03-02-2026,,P-Mac-Ip-05A,CASAL," "
"3 de fev. de 2026, 08:26:41",CASAL00002821,TRAIPU,CASAL,Emergencial,Falta de Energia na Captação da Cidade de Traipu.,Divulgado pela ASCOM,Traipu,02-02-2026,,EEab Traipu,EQTL," "
"3 de fev. de 2026, 08:26:00",CASAL00002820,MACEIÓ,CASAL,Emergencial,"Desligada Para Recuperação de Nível, Solicitado Pela Brk.",Divulgado pela ASCOM,Maceió,03-02-2026,03-02-2026,EEAT Benedito Bentes,BRK," "
"3 de fev. de 2026, 08:25:41",CASAL00002819,MACEIÓ,CASAL,Emergencial,Poço Desligado Para Manutenção de Redes de Água na Região do Feitosa de Responsabilidade da Brk.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Am-01,BRK," "
"3 de fev. de 2026, 08:25:16",CASAL00002818,MACEIÓ,CASAL,Emergencial,Poço Desligado Para Manutenção de Redes de Água na Região do Feitosa de Responsabilidade da Brk.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Fe-04,BRK," "
"3 de fev. de 2026, 08:24:59",CASAL00002817,MACEIÓ,CASAL,Emergencial,Poço Desligado Para Manutenção de Redes de Água na Região do Feitosa de Responsabilidade da Brk.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Reg-02B,BRK," "
"3 de fev. de 2026, 08:24:31",CASAL00002816,MACEIÓ,CASAL,Emergencial,Poço Desligado Para Manutenção de Redes de Água na Região do Feitosa de Responsabilidade da Brk....,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Fe-02,BRK," "
"3 de fev. de 2026, 08:22:08",CASAL00002815,MACEIÓ,CASAL,Emergencial,"O Poço P-Mac-Lsl-05 Voltou A Parar, Demanda Encaminhada A Manutenção Para Realizar As Devidas Correções.",Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Lsl-05,CASAL," "
"3 de fev. de 2026, 08:21:48",CASAL00002814,COLÔNIA LEOPOLDINA,CASAL,Emergencial,Falha no Acionamento do Qce do Reator de Cloro,Divulgado pela ASCOM,,02-02-2026,02-02-2026,ETA Colônia Leopoldina,CASAL,"Verificamos que a mesma interrupção foi avisada duas vezes gerando protocolos diferentes ( CASAL00002814 ,   CASAL00002813)"
"3 de fev. de 2026, 08:21:22",CASAL00002813,COLÔNIA LEOPOLDINA,CASAL,Emergencial,Falha no Acionamento do Qce do Reator de Cloro,Divulgado pela ASCOM,,02-02-2026,02-02-2026,ETA Colônia Leopoldina,CASAL," "
"3 de fev. de 2026, 08:11:04",CASAL00002812,MACEIÓ,CASAL,Emergencial,Poço Parado A Pedido da Cco/Brk Para Manutenção na Rede de Distribuição.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Lsd-02,BRK," "
"3 de fev. de 2026, 08:10:40",CASAL00002811,MACEIÓ,CASAL,Emergencial,Poço Parado Para Reparo na Rede de Distribuição.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Lsl-02,BRK," "
"3 de fev. de 2026, 08:10:17",CASAL00002810,MACEIÓ,CASAL,Emergencial,Poço Parado Para Manutenção na Rede de Distribuição Realizada Pela Brk.,Divulgado pela ASCOM,Maceió,02-02-2026,,P-Mac-Fe-03,BRK," "
"3 de fev. de 2026, 08:09:57",CASAL00002809,MACEIÓ,CASAL,Emergencial,"Poço Parado Desde O Dia 01/02 Às 17H18Min, Após O Reset no Quadro do Poço, O Poço Voltou  Funcionar Às 10H18Min do Dia 02/02.",Divulgado pela ASCOM,Maceió,01-02-2026,02-02-2026,P-Mac-Fe-04,CASAL," "
"3 de fev. de 2026, 08:08:53",CASAL00002808,MACEIÓ,CASAL,Emergencial,"Poço Parado Desde O Dia 01/02 Às 17H18Min, Após O Reset no Quadro do Poço, O Poço Voltou  Funcionar Às 10H18Min do Dia 02/02.",Divulgado pela ASCOM,Maceió,01-02-2026,02-02-2026,P-Mac-Reg-02B,CASAL," "
"3 de fev. de 2026, 08:08:31",CASAL00002807,MACEIÓ,CASAL,Emergencial,"Poço Parado Desde O Dia 01/02 Às 23H18Min, Após O Reset no Quadro do Poço, O Poço Voltou  Funcionar Às 11H03Min do Dia 02/02.",Divulgado pela ASCOM,Maceió,01-02-2026,02-02-2026,P-Mac-Bl-08,CASAL," "
"3 de fev. de 2026, 08:08:10",CASAL00002806,MACEIÓ,CASAL,Emergencial,Vistoriador Constatou Que O Poço Estava Parado e Prontamente Restabeleceu O Funcionamento do Sistema.,Divulgado pela ASCOM,,01-02-2026,02-02-2026,P-Mac-Bl-07,CASAL," "
"2 de fev. de 2026, 22:45:44",BRK00003181,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Feitosa e Reginaldo,02-02-2026,03-02-2026,"Poços Fe 02, 04 e R-02B",BRK," "
"2 de fev. de 2026, 21:21:55",BRK00003180,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Feitosa e Reginaldo,02-02-2026,03-02-2026,"Poços Fe 01, 02 e R-02B",BRK,ESTRUTURA INFORMADA INCORRETA.
"2 de fev. de 2026, 18:02:55",BRK00003179,ATALAIA - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),ALTO DO CRUZEIRO.,10-02-2026,10-02-2026,Rese-At-02,BRK Ambiental RMM," "
"2 de fev. de 2026, 17:44:46",BRK00003178,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),IPIOCA,02-02-2026,03-02-2026,Poço P-Ip 05,CASAL," "
"2 de fev. de 2026, 17:40:44",BRK00003177,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Barra Duro,24-01-2026,04-02-2026,Poço P-Bd 02,CASAL," "
"2 de fev. de 2026, 17:40:32",BRK00003176,MACEIÓ,BRK,Emergencial,Manutenção Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Ipioca,23-09-2025,04-02-2026,Poço P-Ip 02,CASAL," "
"2 de fev. de 2026, 17:40:19",BRK00003175,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Feitosa,18-08-2025,04-02-2026,Poço P-Am 02,CASAL," "
"2 de fev. de 2026, 17:11:30",BRK00003174,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Feitosa,02-02-2026,03-02-2026,Poço P-Fe 03,BRK," "
"2 de fev. de 2026, 15:43:47",ADS00000744,OLHO D'ÁGUA DO CASADO,ADS,Emergencial,Manobra de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Olho D'Água do Casado - Urbana,2026-02-02,2026-02-02,EEAT 03,Águas do Sertão," "
"2 de fev. de 2026, 15:19:37",BRK00003173,MACEIÓ,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Jaraguá e Pajuçara e Poço,02-02-2026,03-02-2026,Dmc Salvador Calmon,BRK," "
"2 de fev. de 2026, 13:39:14",ADS00000743,BELO MONTE,ADS,Emergencial,Manutenção Casal,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Belo Monte - Urbana,2026-02-02,2026-02-02,Faha em CMB,Casal," "
"2 de fev. de 2026, 12:09:09",BRK00003170,ATALAIA - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),POV. JENIPAPEIRO e MUTIRÃO,26-02-2026,26-02-2026,Rese-At-04,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:09:05",BRK00003172,MARECHAL DEODORO - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),CONJ. HABITACIONAL ERICK FERRAZ | POEIRA,25-02-2026,25-02-2026,Rese-Md-03 - Rese-Md-04,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:08:53",BRK00003171,ATALAIA - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),DISTRITO BRANCA,24-02-2026,24-02-2026,Rese-At-14,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:08:49",BRK00003169,MACEIÓ - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),CONJ. VILA DOS PESCADORES,23-02-2026,23-02-2026,Reservatório Vila dos Pescadores - Elevado | Apoiado,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:08:39",BRK00003168,MACEIÓ - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),VERGEL DO LAGO - RES. VILAS DO MUNDAÚ,11-02-2026,11-02-2026,Rese-Vilas do Mundaú,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:08:34",BRK00003167,MACEIÓ - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (02/02/2026),ANTARES,10-02-2026,10-02-2026,Rese-Mc-16,BRK Ambiental RMM," "
"2 de fev. de 2026, 12:00:14",VAA00000968,COLÔNIA LEOPOLDINA,VAA,Emergencial,Falha Nas ETApas de Tratamento,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",TODA CIDADE,02-02-2026 10:37,04-02-2026 19:00,ETA (Casal),CASAL," "
"2 de fev. de 2026, 11:54:57",VAA00000967,UNIÃO DOS PALMARES,VAA,Emergencial,Falha Eletromecânica,"Divulgação: site, e-mail, whatsapp",SAGRADA FAMÍLIA,02-02-2026 11:00,04-02-2026 19:00,Eat Frios,VERDE ALAGOAS," "
"2 de fev. de 2026, 11:39:13",ADS00000742,PIRANHAS,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Piranhas - Urbana,2026-02-02,2026-02-02,Pvc Dn 60,Águas do Sertão," "
"2 de fev. de 2026, 11:21:25",ADS00000741,DELMIRO GOUVEIA,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Delmiro Gouveia - Urbana,2026-02-02,2026-02-02,Rede de Distribuição.,Águas do Sertão," "
"2 de fev. de 2026, 10:56:11",BRK00003166,MARECHAL DEODORO,BRK,Emergencial,À Manobra Operacional,A comunicação de paralisação emergencial foi realizada nesta data (02/02/2026),Massagueira,30-01-2026,01-02-2026,Registro Massagueira 01,BRK," "
